@relation yeast-0-2-5-7-9_vs_3-6-8-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute mcg {'\'(-inf-0.675]\'','\'(0.675-0.735]\'','\'(0.735-inf)\''}
@attribute gvh {'\'(-inf-0.625]\'','\'(0.625-0.685]\'','\'(0.685-inf)\''}
@attribute alm {'\'(-inf-0.475]\'','\'(0.475-inf)\''}
@attribute mit {'\'(-inf-0.185]\'','\'(0.185-0.395]\'','\'(0.395-inf)\''}
@attribute erl {'\'All\''}
@attribute pox {'\'(-inf-0.25]\'','\'(0.25-inf)\''}
@attribute vac {'\'All\''}
@attribute nuc {'\'All\''}
@attribute class {positive,negative}

@data
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.735-inf)\'','\'(0.625-0.685]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.735-inf)\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-0.735]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.685-inf)\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.685-inf)\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.685-inf)\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-0.735]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.735-inf)\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.735-inf)\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-0.735]\'','\'(0.625-0.685]\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(-inf-0.475]\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.625-0.685]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.185-0.395]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(0.395-inf)\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.625]\'','\'(0.475-inf)\'','\'(-inf-0.185]\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
